participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,score,iterations.thisRepN,iterations.thisTrialN,iterations.thisN,iterations.thisIndex,iterations.ran,i_ques,i_res,i_ans
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,,,,,,,,,,,,
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,,,,,,,,,,,,
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,2,1,7.0081,1,0,0,0,0,1,Questions/Slide2.png,Responses/Slide3.png,2
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,4,1,3.7434,2,0,1,1,1,1,Questions/Slide4.png,Responses/Slide5.png,4
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,1,1,2.3837,3,0,2,2,2,1,Questions/Slide6.png,Responses/Slide7.png,1
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,3,1,1.6331,4,0,3,3,3,1,Questions/Slide8.png,Responses/Slide9.png,3
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,1,1,1.1763,5,0,4,4,4,1,Questions/Slide10.png,Responses/Slide11.png,1
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,1,0,0.8656,5,0,5,5,5,1,Questions/Slide12.png,Responses/Slide13.png,4
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,3,0,2.7462,5,0,6,6,6,1,Questions/Slide14.png,Responses/Slide15.png,2
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,0,0,8.8743,5,0,7,7,7,1,Questions/Slide16.png,Responses/Slide17.png,4
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,2,0,3.7678,5,0,8,8,8,1,Questions/Slide18.png,Responses/Slide19.png,4
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,3,1,1.1379,6,0,9,9,9,1,Questions/Slide20.png,Responses/Slide21.png,3
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,1,0,2.1921,6,0,10,10,10,1,Questions/Slide22.png,Responses/Slide23.png,2
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,3,0,2.0236,6,0,11,11,11,1,Questions/Slide24.png,Responses/Slide25.png,0
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,1,1,1.5734,7,0,12,12,12,1,Questions/Slide26.png,Responses/Slide27.png,1
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,4,0,3.3435,7,0,13,13,13,1,Questions/Slide28.png,Responses/Slide29.png,6
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,2,0,1.8968,7,0,14,14,14,1,Questions/Slide30.png,Responses/Slide31.png,0
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,4,0,1.1754,7,0,15,15,15,1,Questions/Slide32.png,Responses/Slide33.png,0
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,3,1,0.1756,8,0,16,16,16,1,Questions/Slide34.png,Responses/Slide35.png,3
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,2,1,0.4886,9,0,17,17,17,1,Questions/Slide36.png,Responses/Slide37.png,2
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,2,1,0.2743,10,0,18,18,18,1,Questions/Slide38.png,Responses/Slide39.png,2
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,2,1,0.068,11,0,19,19,19,1,Questions/Slide40.png,Responses/Slide41.png,2
Om,001,2022-12-06_07h44.08.231,SpotSymbols,2022.2.4,MacIntel,120.0048002,,,,,,,,,,,,
